date,gare_regionsncf_libelle,type,nb_objets,freq
2016-01-01,Auvergne-Rhône-Alpes,"Appareils électroniques, informatiques, appareils photo",3,173811
2016-01-01,Auvergne-Rhône-Alpes,"Articles d'enfants, de puériculture",1,173811
2016-01-01,Auvergne-Rhône-Alpes,"Articles de sport, loisirs, camping",3,173811
2016-01-01,Auvergne-Rhône-Alpes,"Bagagerie: sacs, valises, cartables",12,173811
2016-01-01,Auvergne-Rhône-Alpes,"Clés, porte-clés, badge magnétique",1,173811
2016-01-01,Auvergne-Rhône-Alpes,"Vélos, trottinettes, accessoires 2 roues",1,173811
2016-01-01,Auvergne-Rhône-Alpes,"Vêtements, chaussures",3,173811
2016-01-01,Auvergne-Rhône-Alpes,"Appareils électroniques, informatiques, appareils photo",9,194357
2016-01-01,Auvergne-Rhône-Alpes,"Articles d'enfants, de puériculture",1,194357
2016-01-01,Auvergne-Rhône-Alpes,"Bagagerie: sacs, valises, cartables",9,194357
2016-01-01,Auvergne-Rhône-Alpes,"Clés, porte-clés, badge magnétique",1,194357
2016-01-01,Auvergne-Rhône-Alpes,"Porte-monnaie / portefeuille, argent, titres",3,194357
2016-01-01,Auvergne-Rhône-Alpes,"Vélos, trottinettes, accessoires 2 roues",1,194357
2016-01-01,Auvergne-Rhône-Alpes,"Appareils électroniques, informatiques, appareils photo",6,343667
2016-01-01,Auvergne-Rhône-Alpes,"Bagagerie: sacs, valises, cartables",6,343667
2016-01-01,Auvergne-Rhône-Alpes,Pièces d'identités et papiers personnels,11,343667
2016-01-01,Auvergne-Rhône-Alpes,"Porte-monnaie / portefeuille, argent, titres",4,343667
2016-01-01,Auvergne-Rhône-Alpes,"Vêtements, chaussures",1,343667
2016-01-01,Auvergne-Rhône-Alpes,"Appareils électroniques, informatiques, appareils photo",23,347270
2016-01-01,Auvergne-Rhône-Alpes,"Articles d'enfants, de puériculture",2,347270
2016-01-01,Auvergne-Rhône-Alpes,"Articles de sport, loisirs, camping",14,347270
2016-01-01,Auvergne-Rhône-Alpes,"Bagagerie: sacs, valises, cartables",43,347270
2016-01-01,Auvergne-Rhône-Alpes,"Bijoux, montres",2,347270
2016-01-01,Auvergne-Rhône-Alpes,"Clés, porte-clés, badge magnétique",4,347270
2016-01-01,Auvergne-Rhône-Alpes,Divers,3,347270
2016-01-01,Auvergne-Rhône-Alpes,Optique,7,347270
2016-01-01,Auvergne-Rhône-Alpes,"Porte-monnaie / portefeuille, argent, titres",8,347270
2016-01-01,Auvergne-Rhône-Alpes,"Vélos, trottinettes, accessoires 2 roues",2,347270
2016-01-01,Auvergne-Rhône-Alpes,"Vêtements, chaussures",23,347270
2016-01-01,Auvergne-Rhône-Alpes,"Articles de sport, loisirs, camping",2,383165
2016-01-01,Auvergne-Rhône-Alpes,"Bagagerie: sacs, valises, cartables",10,383165
2016-01-01,Auvergne-Rhône-Alpes,"Clés, porte-clés, badge magnétique",4,383165
2016-01-01,Auvergne-Rhône-Alpes,Optique,1,383165
2016-01-01,Auvergne-Rhône-Alpes,"Porte-monnaie / portefeuille, argent, titres",3,383165
2016-01-01,Auvergne-Rhône-Alpes,"Vélos, trottinettes, accessoires 2 roues",1,383165
2016-01-01,Auvergne-Rhône-Alpes,"Vêtements, chaussures",5,383165
2016-01-01,Auvergne-Rhône-Alpes,"Appareils électroniques, informatiques, appareils photo",3,708622
2016-01-01,Auvergne-Rhône-Alpes,"Clés, porte-clés, badge magnétique",1,708622
2016-01-01,Auvergne-Rhône-Alpes,Optique,1,708622
2016-01-01,Auvergne-Rhône-Alpes,"Vêtements, chaussures",2,708622
2016-01-01,Auvergne-Rhône-Alpes,"Appareils électroniques, informatiques, appareils photo",1,767099
2016-01-01,Auvergne-Rhône-Alpes,"Bagagerie: sacs, valises, cartables",4,767099
2016-01-01,Auvergne-Rhône-Alpes,"Clés, porte-clés, badge magnétique",1,767099
2016-01-01,Auvergne-Rhône-Alpes,Divers,1,767099
2016-01-01,Auvergne-Rhône-Alpes,Optique,3,767099
2016-01-01,Auvergne-Rhône-Alpes,"Appareils électroniques, informatiques, appareils photo",20,1188233
2016-01-01,Auvergne-Rhône-Alpes,"Bagagerie: sacs, valises, cartables",27,1188233
2016-01-01,Auvergne-Rhône-Alpes,Divers,1,1188233
2016-01-01,Auvergne-Rhône-Alpes,Instruments de musique,1,1188233
2016-01-01,Auvergne-Rhône-Alpes,Optique,1,1188233
2016-01-01,Auvergne-Rhône-Alpes,Parapluies,1,1188233
2016-01-01,Auvergne-Rhône-Alpes,Pièces d'identités et papiers personnels,1,1188233
2016-01-01,Auvergne-Rhône-Alpes,"Porte-monnaie / portefeuille, argent, titres",4,1188233
2016-01-01,Auvergne-Rhône-Alpes,"Vélos, trottinettes, accessoires 2 roues",2,1188233
2016-01-01,Auvergne-Rhône-Alpes,"Vêtements, chaussures",1,1188233
2016-01-01,Auvergne-Rhône-Alpes,"Appareils électroniques, informatiques, appareils photo",5,1295717
2016-01-01,Auvergne-Rhône-Alpes,Articles médicaux,2,1295717
2016-01-01,Auvergne-Rhône-Alpes,"Bagagerie: sacs, valises, cartables",10,1295717
2016-01-01,Auvergne-Rhône-Alpes,"Clés, porte-clés, badge magnétique",2,1295717
2016-01-01,Auvergne-Rhône-Alpes,"Livres, articles de papéterie",1,1295717
2016-01-01,Auvergne-Rhône-Alpes,Optique,1,1295717
2016-01-01,Auvergne-Rhône-Alpes,Parapluies,3,1295717
2016-01-01,Auvergne-Rhône-Alpes,"Porte-monnaie / portefeuille, argent, titres",3,1295717
2016-01-01,Auvergne-Rhône-Alpes,"Vêtements, chaussures",7,1295717
2016-01-01,Auvergne-Rhône-Alpes,"Appareils électroniques, informatiques, appareils photo",49,1359050
2016-01-01,Auvergne-Rhône-Alpes,"Articles de sport, loisirs, camping",1,1359050
2016-01-01,Auvergne-Rhône-Alpes,Articles médicaux,1,1359050
2016-01-01,Auvergne-Rhône-Alpes,"Bagagerie: sacs, valises, cartables",76,1359050
2016-01-01,Auvergne-Rhône-Alpes,"Bijoux, montres",1,1359050
2016-01-01,Auvergne-Rhône-Alpes,"Clés, porte-clés, badge magnétique",7,1359050
2016-01-01,Auvergne-Rhône-Alpes,Divers,1,1359050
2016-01-01,Auvergne-Rhône-Alpes,"Livres, articles de papéterie",1,1359050
2016-01-01,Auvergne-Rhône-Alpes,Optique,2,1359050
2016-01-01,Auvergne-Rhône-Alpes,Pièces d'identités et papiers personnels,1,1359050
2016-01-01,Auvergne-Rhône-Alpes,"Porte-monnaie / portefeuille, argent, titres",19,1359050
2016-01-01,Auvergne-Rhône-Alpes,"Vélos, trottinettes, accessoires 2 roues",1,1359050
2016-01-01,Auvergne-Rhône-Alpes,"Vêtements, chaussures",8,1359050
2016-01-01,Auvergne-Rhône-Alpes,"Appareils électroniques, informatiques, appareils photo",34,1728014
2016-01-01,Auvergne-Rhône-Alpes,"Articles d'enfants, de puériculture",1,1728014
2016-01-01,Auvergne-Rhône-Alpes,"Articles de sport, loisirs, camping",2,1728014
2016-01-01,Auvergne-Rhône-Alpes,Articles médicaux,2,1728014
2016-01-01,Auvergne-Rhône-Alpes,"Bagagerie: sacs, valises, cartables",78,1728014
2016-01-01,Auvergne-Rhône-Alpes,"Clés, porte-clés, badge magnétique",1,1728014
2016-01-01,Auvergne-Rhône-Alpes,Optique,8,1728014
2016-01-01,Auvergne-Rhône-Alpes,Parapluies,1,1728014
2016-01-01,Auvergne-Rhône-Alpes,Pièces d'identités et papiers personnels,6,1728014
2016-01-01,Auvergne-Rhône-Alpes,"Porte-monnaie / portefeuille, argent, titres",27,1728014
2016-01-01,Auvergne-Rhône-Alpes,"Vélos, trottinettes, accessoires 2 roues",11,1728014
2016-01-01,Auvergne-Rhône-Alpes,"Vêtements, chaussures",20,1728014
2016-01-01,Auvergne-Rhône-Alpes,"Appareils électroniques, informatiques, appareils photo",83,2216925
2016-01-01,Auvergne-Rhône-Alpes,"Articles d'enfants, de puériculture",1,2216925
2016-01-01,Auvergne-Rhône-Alpes,"Articles de sport, loisirs, camping",11,2216925
2016-01-01,Auvergne-Rhône-Alpes,"Bagagerie: sacs, valises, cartables",211,2216925
2016-01-01,Auvergne-Rhône-Alpes,"Clés, porte-clés, badge magnétique",10,2216925
2016-01-01,Auvergne-Rhône-Alpes,Divers,27,2216925
2016-01-01,Auvergne-Rhône-Alpes,Instruments de musique,2,2216925
2016-01-01,Auvergne-Rhône-Alpes,"Livres, articles de papéterie",1,2216925
2016-01-01,Auvergne-Rhône-Alpes,Optique,8,2216925
2016-01-01,Auvergne-Rhône-Alpes,Pièces d'identités et papiers personnels,3,2216925
2016-01-01,Auvergne-Rhône-Alpes,"Porte-monnaie / portefeuille, argent, titres",48,2216925
2016-01-01,Auvergne-Rhône-Alpes,"Vélos, trottinettes, accessoires 2 roues",7,2216925
2016-01-01,Auvergne-Rhône-Alpes,"Vêtements, chaussures",48,2216925
2016-01-01,Auvergne-Rhône-Alpes,"Appareils électroniques, informatiques, appareils photo",71,3498462
2016-01-01,Auvergne-Rhône-Alpes,"Articles d'enfants, de puériculture",1,3498462
2016-01-01,Auvergne-Rhône-Alpes,"Articles de sport, loisirs, camping",5,3498462
2016-01-01,Auvergne-Rhône-Alpes,Articles médicaux,2,3498462
2016-01-01,Auvergne-Rhône-Alpes,"Bagagerie: sacs, valises, cartables",124,3498462
2016-01-01,Auvergne-Rhône-Alpes,"Bijoux, montres",2,3498462
2016-01-01,Auvergne-Rhône-Alpes,"Clés, porte-clés, badge magnétique",7,3498462
2016-01-01,Auvergne-Rhône-Alpes,Divers,2,3498462
2016-01-01,Auvergne-Rhône-Alpes,"Livres, articles de papéterie",3,3498462
2016-01-01,Auvergne-Rhône-Alpes,Optique,9,3498462
2016-01-01,Auvergne-Rhône-Alpes,Parapluies,11,3498462
2016-01-01,Auvergne-Rhône-Alpes,Pièces d'identités et papiers personnels,8,3498462
2016-01-01,Auvergne-Rhône-Alpes,"Porte-monnaie / portefeuille, argent, titres",49,3498462
2016-01-01,Auvergne-Rhône-Alpes,"Vélos, trottinettes, accessoires 2 roues",4,3498462
2016-01-01,Auvergne-Rhône-Alpes,"Vêtements, chaussures",26,3498462
2016-01-01,Auvergne-Rhône-Alpes,"Appareils électroniques, informatiques, appareils photo",81,3624235
2016-01-01,Auvergne-Rhône-Alpes,"Articles d'enfants, de puériculture",10,3624235
2016-01-01,Auvergne-Rhône-Alpes,"Articles de sport, loisirs, camping",16,3624235
2016-01-01,Auvergne-Rhône-Alpes,Articles médicaux,3,3624235
2016-01-01,Auvergne-Rhône-Alpes,"Bagagerie: sacs, valises, cartables",143,3624235
2016-01-01,Auvergne-Rhône-Alpes,"Bijoux, montres",8,3624235
2016-01-01,Auvergne-Rhône-Alpes,"Clés, porte-clés, badge magnétique",38,3624235
2016-01-01,Auvergne-Rhône-Alpes,Divers,19,3624235
2016-01-01,Auvergne-Rhône-Alpes,Instruments de musique,4,3624235
2016-01-01,Auvergne-Rhône-Alpes,"Livres, articles de papéterie",20,3624235
2016-01-01,Auvergne-Rhône-Alpes,Optique,60,3624235
2016-01-01,Auvergne-Rhône-Alpes,Parapluies,27,3624235
2016-01-01,Auvergne-Rhône-Alpes,Pièces d'identités et papiers personnels,18,3624235
2016-01-01,Auvergne-Rhône-Alpes,"Porte-monnaie / portefeuille, argent, titres",75,3624235
2016-01-01,Auvergne-Rhône-Alpes,"Vélos, trottinettes, accessoires 2 roues",14,3624235
2016-01-01,Auvergne-Rhône-Alpes,"Vêtements, chaussures",156,3624235
2016-01-01,Auvergne-Rhône-Alpes,"Appareils électroniques, informatiques, appareils photo",306,5633663
2016-01-01,Auvergne-Rhône-Alpes,"Articles d'enfants, de puériculture",28,5633663
2016-01-01,Auvergne-Rhône-Alpes,"Articles de sport, loisirs, camping",26,5633663
2016-01-01,Auvergne-Rhône-Alpes,Articles médicaux,10,5633663
2016-01-01,Auvergne-Rhône-Alpes,"Bagagerie: sacs, valises, cartables",663,5633663
2016-01-01,Auvergne-Rhône-Alpes,"Bijoux, montres",10,5633663
2016-01-01,Auvergne-Rhône-Alpes,"Clés, porte-clés, badge magnétique",189,5633663
2016-01-01,Auvergne-Rhône-Alpes,Divers,34,5633663
2016-01-01,Auvergne-Rhône-Alpes,Instruments de musique,8,5633663
2016-01-01,Auvergne-Rhône-Alpes,"Livres, articles de papéterie",69,5633663
2016-01-01,Auvergne-Rhône-Alpes,Optique,171,5633663
2016-01-01,Auvergne-Rhône-Alpes,Parapluies,9,5633663
2016-01-01,Auvergne-Rhône-Alpes,Pièces d'identités et papiers personnels,242,5633663
2016-01-01,Auvergne-Rhône-Alpes,"Porte-monnaie / portefeuille, argent, titres",406,5633663
2016-01-01,Auvergne-Rhône-Alpes,"Vélos, trottinettes, accessoires 2 roues",35,5633663
2016-01-01,Auvergne-Rhône-Alpes,"Vêtements, chaussures",327,5633663
2016-01-01,Auvergne-Rhône-Alpes,"Appareils électroniques, informatiques, appareils photo",173,7237980
2016-01-01,Auvergne-Rhône-Alpes,"Articles d'enfants, de puériculture",5,7237980
2016-01-01,Auvergne-Rhône-Alpes,"Articles de sport, loisirs, camping",18,7237980
2016-01-01,Auvergne-Rhône-Alpes,Articles médicaux,5,7237980
2016-01-01,Auvergne-Rhône-Alpes,"Bagagerie: sacs, valises, cartables",264,7237980
2016-01-01,Auvergne-Rhône-Alpes,"Bijoux, montres",1,7237980
2016-01-01,Auvergne-Rhône-Alpes,"Clés, porte-clés, badge magnétique",13,7237980
2016-01-01,Auvergne-Rhône-Alpes,Divers,8,7237980
2016-01-01,Auvergne-Rhône-Alpes,Instruments de musique,3,7237980
2016-01-01,Auvergne-Rhône-Alpes,"Livres, articles de papéterie",7,7237980
2016-01-01,Auvergne-Rhône-Alpes,Optique,16,7237980
2016-01-01,Auvergne-Rhône-Alpes,Pièces d'identités et papiers personnels,3,7237980
2016-01-01,Auvergne-Rhône-Alpes,"Porte-monnaie / portefeuille, argent, titres",112,7237980
2016-01-01,Auvergne-Rhône-Alpes,"Vélos, trottinettes, accessoires 2 roues",9,7237980
2016-01-01,Auvergne-Rhône-Alpes,"Vêtements, chaussures",55,7237980
2016-01-01,Auvergne-Rhône-Alpes,"Appareils électroniques, informatiques, appareils photo",406,32525629
2016-01-01,Auvergne-Rhône-Alpes,"Articles d'enfants, de puériculture",43,32525629
2016-01-01,Auvergne-Rhône-Alpes,"Articles de sport, loisirs, camping",39,32525629
2016-01-01,Auvergne-Rhône-Alpes,Articles médicaux,19,32525629
2016-01-01,Auvergne-Rhône-Alpes,"Bagagerie: sacs, valises, cartables",787,32525629
2016-01-01,Auvergne-Rhône-Alpes,"Bijoux, montres",31,32525629
2016-01-01,Auvergne-Rhône-Alpes,"Clés, porte-clés, badge magnétique",182,32525629
2016-01-01,Auvergne-Rhône-Alpes,Divers,35,32525629
2016-01-01,Auvergne-Rhône-Alpes,Instruments de musique,5,32525629
2016-01-01,Auvergne-Rhône-Alpes,"Livres, articles de papéterie",60,32525629
2016-01-01,Auvergne-Rhône-Alpes,Optique,173,32525629
2016-01-01,Auvergne-Rhône-Alpes,Parapluies,16,32525629
2016-01-01,Auvergne-Rhône-Alpes,Pièces d'identités et papiers personnels,323,32525629
2016-01-01,Auvergne-Rhône-Alpes,"Porte-monnaie / portefeuille, argent, titres",422,32525629
2016-01-01,Auvergne-Rhône-Alpes,"Vélos, trottinettes, accessoires 2 roues",35,32525629
2016-01-01,Auvergne-Rhône-Alpes,"Vêtements, chaussures",190,32525629
2016-01-01,Bourgogne-Franche-Comté,"Appareils électroniques, informatiques, appareils photo",3,394268
2016-01-01,Bourgogne-Franche-Comté,"Articles d'enfants, de puériculture",1,394268
2016-01-01,Bourgogne-Franche-Comté,"Bagagerie: sacs, valises, cartables",4,394268
2016-01-01,Bourgogne-Franche-Comté,"Bijoux, montres",2,394268
2016-01-01,Bourgogne-Franche-Comté,Divers,1,394268
2016-01-01,Bourgogne-Franche-Comté,Instruments de musique,1,394268
2016-01-01,Bourgogne-Franche-Comté,"Porte-monnaie / portefeuille, argent, titres",2,394268
2016-01-01,Bourgogne-Franche-Comté,"Appareils électroniques, informatiques, appareils photo",8,739676
2016-01-01,Bourgogne-Franche-Comté,"Bagagerie: sacs, valises, cartables",17,739676
2016-01-01,Bourgogne-Franche-Comté,"Bijoux, montres",2,739676
2016-01-01,Bourgogne-Franche-Comté,Optique,2,739676
2016-01-01,Bourgogne-Franche-Comté,Pièces d'identités et papiers personnels,1,739676
2016-01-01,Bourgogne-Franche-Comté,"Porte-monnaie / portefeuille, argent, titres",4,739676
2016-01-01,Bourgogne-Franche-Comté,"Vélos, trottinettes, accessoires 2 roues",1,739676
2016-01-01,Bourgogne-Franche-Comté,"Vêtements, chaussures",2,739676
2016-01-01,Bourgogne-Franche-Comté,"Appareils électroniques, informatiques, appareils photo",51,831561
2016-01-01,Bourgogne-Franche-Comté,"Articles d'enfants, de puériculture",1,831561
2016-01-01,Bourgogne-Franche-Comté,"Articles de sport, loisirs, camping",3,831561
2016-01-01,Bourgogne-Franche-Comté,Articles médicaux,1,831561
2016-01-01,Bourgogne-Franche-Comté,"Bagagerie: sacs, valises, cartables",52,831561
2016-01-01,Bourgogne-Franche-Comté,"Clés, porte-clés, badge magnétique",1,831561
2016-01-01,Bourgogne-Franche-Comté,Divers,6,831561
2016-01-01,Bourgogne-Franche-Comté,Instruments de musique,1,831561
2016-01-01,Bourgogne-Franche-Comté,Optique,3,831561
2016-01-01,Bourgogne-Franche-Comté,Parapluies,1,831561
2016-01-01,Bourgogne-Franche-Comté,Pièces d'identités et papiers personnels,3,831561
2016-01-01,Bourgogne-Franche-Comté,"Porte-monnaie / portefeuille, argent, titres",22,831561
2016-01-01,Bourgogne-Franche-Comté,"Vélos, trottinettes, accessoires 2 roues",2,831561
2016-01-01,Bourgogne-Franche-Comté,"Vêtements, chaussures",8,831561
2016-01-01,Bourgogne-Franche-Comté,"Appareils électroniques, informatiques, appareils photo",4,1059616
2016-01-01,Bourgogne-Franche-Comté,"Bagagerie: sacs, valises, cartables",1,1059616
2016-01-01,Bourgogne-Franche-Comté,"Clés, porte-clés, badge magnétique",1,1059616
2016-01-01,Bourgogne-Franche-Comté,Optique,1,1059616
2016-01-01,Bourgogne-Franche-Comté,Pièces d'identités et papiers personnels,1,1059616
2016-01-01,Bourgogne-Franche-Comté,"Porte-monnaie / portefeuille, argent, titres",4,1059616
2016-01-01,Bourgogne-Franche-Comté,"Vêtements, chaussures",1,1059616
2016-01-01,Bourgogne-Franche-Comté,"Appareils électroniques, informatiques, appareils photo",3,1148009
2016-01-01,Bourgogne-Franche-Comté,"Bagagerie: sacs, valises, cartables",1,1148009
2016-01-01,Bourgogne-Franche-Comté,Pièces d'identités et papiers personnels,1,1148009
2016-01-01,Bourgogne-Franche-Comté,"Appareils électroniques, informatiques, appareils photo",31,1297413
2016-01-01,Bourgogne-Franche-Comté,"Articles d'enfants, de puériculture",3,1297413
2016-01-01,Bourgogne-Franche-Comté,"Bagagerie: sacs, valises, cartables",11,1297413
2016-01-01,Bourgogne-Franche-Comté,Parapluies,2,1297413
2016-01-01,Bourgogne-Franche-Comté,"Porte-monnaie / portefeuille, argent, titres",3,1297413
2016-01-01,Bourgogne-Franche-Comté,"Vélos, trottinettes, accessoires 2 roues",3,1297413
2016-01-01,Bourgogne-Franche-Comté,"Vêtements, chaussures",1,1297413
2016-01-01,Bourgogne-Franche-Comté,"Appareils électroniques, informatiques, appareils photo",63,2040910
2016-01-01,Bourgogne-Franche-Comté,"Articles d'enfants, de puériculture",4,2040910
2016-01-01,Bourgogne-Franche-Comté,"Articles de sport, loisirs, camping",5,2040910
2016-01-01,Bourgogne-Franche-Comté,Articles médicaux,7,2040910
2016-01-01,Bourgogne-Franche-Comté,"Bagagerie: sacs, valises, cartables",121,2040910
2016-01-01,Bourgogne-Franche-Comté,"Bijoux, montres",3,2040910
2016-01-01,Bourgogne-Franche-Comté,"Clés, porte-clés, badge magnétique",13,2040910
2016-01-01,Bourgogne-Franche-Comté,Divers,5,2040910
2016-01-01,Bourgogne-Franche-Comté,Instruments de musique,5,2040910
2016-01-01,Bourgogne-Franche-Comté,"Livres, articles de papéterie",4,2040910
2016-01-01,Bourgogne-Franche-Comté,Optique,29,2040910
2016-01-01,Bourgogne-Franche-Comté,Parapluies,4,2040910
2016-01-01,Bourgogne-Franche-Comté,Pièces d'identités et papiers personnels,11,2040910
2016-01-01,Bourgogne-Franche-Comté,"Porte-monnaie / portefeuille, argent, titres",42,2040910
2016-01-01,Bourgogne-Franche-Comté,"Vélos, trottinettes, accessoires 2 roues",8,2040910
2016-01-01,Bourgogne-Franche-Comté,"Vêtements, chaussures",43,2040910
2016-01-01,Bourgogne-Franche-Comté,"Appareils électroniques, informatiques, appareils photo",161,5901000
2016-01-01,Bourgogne-Franche-Comté,"Articles d'enfants, de puériculture",13,5901000
2016-01-01,Bourgogne-Franche-Comté,"Articles de sport, loisirs, camping",13,5901000
2016-01-01,Bourgogne-Franche-Comté,Articles médicaux,4,5901000
2016-01-01,Bourgogne-Franche-Comté,"Bagagerie: sacs, valises, cartables",275,5901000
2016-01-01,Bourgogne-Franche-Comté,"Bijoux, montres",12,5901000
2016-01-01,Bourgogne-Franche-Comté,"Clés, porte-clés, badge magnétique",81,5901000
2016-01-01,Bourgogne-Franche-Comté,Divers,18,5901000
2016-01-01,Bourgogne-Franche-Comté,Instruments de musique,2,5901000
2016-01-01,Bourgogne-Franche-Comté,"Livres, articles de papéterie",9,5901000
2016-01-01,Bourgogne-Franche-Comté,Optique,61,5901000
2016-01-01,Bourgogne-Franche-Comté,Parapluies,11,5901000
2016-01-01,Bourgogne-Franche-Comté,Pièces d'identités et papiers personnels,2,5901000
2016-01-01,Bourgogne-Franche-Comté,"Porte-monnaie / portefeuille, argent, titres",80,5901000
2016-01-01,Bourgogne-Franche-Comté,"Vélos, trottinettes, accessoires 2 roues",11,5901000
2016-01-01,Bourgogne-Franche-Comté,"Vêtements, chaussures",109,5901000
2016-01-01,Bretagne,"Appareils électroniques, informatiques, appareils photo",5,550739
2016-01-01,Bretagne,"Articles d'enfants, de puériculture",1,550739
2016-01-01,Bretagne,"Bagagerie: sacs, valises, cartables",17,550739
2016-01-01,Bretagne,"Bijoux, montres",2,550739
2016-01-01,Bretagne,"Clés, porte-clés, badge magnétique",9,550739
2016-01-01,Bretagne,Divers,2,550739
2016-01-01,Bretagne,Instruments de musique,1,550739
2016-01-01,Bretagne,"Livres, articles de papéterie",4,550739
2016-01-01,Bretagne,Optique,3,550739
2016-01-01,Bretagne,Parapluies,8,550739
2016-01-01,Bretagne,Pièces d'identités et papiers personnels,2,550739
2016-01-01,Bretagne,"Porte-monnaie / portefeuille, argent, titres",10,550739
2016-01-01,Bretagne,"Vélos, trottinettes, accessoires 2 roues",2,550739
2016-01-01,Bretagne,"Vêtements, chaussures",19,550739
2016-01-01,Bretagne,"Appareils électroniques, informatiques, appareils photo",10,582013
2016-01-01,Bretagne,"Articles d'enfants, de puériculture",1,582013
2016-01-01,Bretagne,"Articles de sport, loisirs, camping",3,582013
2016-01-01,Bretagne,"Bagagerie: sacs, valises, cartables",24,582013
2016-01-01,Bretagne,"Clés, porte-clés, badge magnétique",9,582013
2016-01-01,Bretagne,Divers,1,582013
2016-01-01,Bretagne,Optique,8,582013
2016-01-01,Bretagne,Parapluies,3,582013
2016-01-01,Bretagne,Pièces d'identités et papiers personnels,6,582013
2016-01-01,Bretagne,"Porte-monnaie / portefeuille, argent, titres",3,582013
2016-01-01,Bretagne,"Vêtements, chaussures",17,582013
2016-01-01,Bretagne,"Appareils électroniques, informatiques, appareils photo",3,798576
2016-01-01,Bretagne,"Bagagerie: sacs, valises, cartables",1,798576
2016-01-01,Bretagne,"Appareils électroniques, informatiques, appareils photo",19,1165951
2016-01-01,Bretagne,"Articles d'enfants, de puériculture",3,1165951
2016-01-01,Bretagne,"Articles de sport, loisirs, camping",3,1165951
2016-01-01,Bretagne,Articles médicaux,4,1165951
2016-01-01,Bretagne,"Bagagerie: sacs, valises, cartables",42,1165951
2016-01-01,Bretagne,"Clés, porte-clés, badge magnétique",1,1165951
2016-01-01,Bretagne,Divers,12,1165951
2016-01-01,Bretagne,Instruments de musique,1,1165951
2016-01-01,Bretagne,"Livres, articles de papéterie",1,1165951
2016-01-01,Bretagne,Optique,16,1165951
2016-01-01,Bretagne,Parapluies,1,1165951
2016-01-01,Bretagne,Pièces d'identités et papiers personnels,1,1165951
2016-01-01,Bretagne,"Porte-monnaie / portefeuille, argent, titres",9,1165951
2016-01-01,Bretagne,"Vélos, trottinettes, accessoires 2 roues",4,1165951
2016-01-01,Bretagne,"Vêtements, chaussures",51,1165951
2016-01-01,Bretagne,"Appareils électroniques, informatiques, appareils photo",240,1631603
2016-01-01,Bretagne,"Articles d'enfants, de puériculture",33,1631603
2016-01-01,Bretagne,"Articles de sport, loisirs, camping",46,1631603
2016-01-01,Bretagne,Articles médicaux,8,1631603
2016-01-01,Bretagne,"Bagagerie: sacs, valises, cartables",369,1631603
2016-01-01,Bretagne,"Bijoux, montres",21,1631603
2016-01-01,Bretagne,"Clés, porte-clés, badge magnétique",39,1631603
2016-01-01,Bretagne,Divers,41,1631603
2016-01-01,Bretagne,Instruments de musique,3,1631603
2016-01-01,Bretagne,"Livres, articles de papéterie",114,1631603
2016-01-01,Bretagne,Optique,161,1631603
2016-01-01,Bretagne,Parapluies,58,1631603
2016-01-01,Bretagne,Pièces d'identités et papiers personnels,37,1631603
2016-01-01,Bretagne,"Porte-monnaie / portefeuille, argent, titres",85,1631603
2016-01-01,Bretagne,"Vélos, trottinettes, accessoires 2 roues",14,1631603
2016-01-01,Bretagne,"Vêtements, chaussures",625,1631603
2016-01-01,Centre-Val de Loire,"Appareils électroniques, informatiques, appareils photo",11,751042
2016-01-01,Centre-Val de Loire,"Articles d'enfants, de puériculture",1,751042
2016-01-01,Centre-Val de Loire,Articles médicaux,1,751042
2016-01-01,Centre-Val de Loire,"Bagagerie: sacs, valises, cartables",18,751042
2016-01-01,Centre-Val de Loire,"Bijoux, montres",2,751042
2016-01-01,Centre-Val de Loire,"Clés, porte-clés, badge magnétique",4,751042
2016-01-01,Centre-Val de Loire,Optique,6,751042
2016-01-01,Centre-Val de Loire,Pièces d'identités et papiers personnels,3,751042
2016-01-01,Centre-Val de Loire,"Porte-monnaie / portefeuille, argent, titres",9,751042
2016-01-01,Centre-Val de Loire,"Vêtements, chaussures",6,751042
2016-01-01,Centre-Val de Loire,"Appareils électroniques, informatiques, appareils photo",22,880015
2016-01-01,Centre-Val de Loire,"Articles d'enfants, de puériculture",4,880015
2016-01-01,Centre-Val de Loire,"Articles de sport, loisirs, camping",2,880015
2016-01-01,Centre-Val de Loire,Articles médicaux,2,880015
2016-01-01,Centre-Val de Loire,"Bagagerie: sacs, valises, cartables",59,880015
2016-01-01,Centre-Val de Loire,"Clés, porte-clés, badge magnétique",19,880015
2016-01-01,Centre-Val de Loire,Divers,12,880015
2016-01-01,Centre-Val de Loire,Instruments de musique,2,880015
2016-01-01,Centre-Val de Loire,"Livres, articles de papéterie",18,880015
2016-01-01,Centre-Val de Loire,Optique,29,880015
2016-01-01,Centre-Val de Loire,Parapluies,15,880015
2016-01-01,Centre-Val de Loire,Pièces d'identités et papiers personnels,38,880015
2016-01-01,Centre-Val de Loire,"Porte-monnaie / portefeuille, argent, titres",22,880015
2016-01-01,Centre-Val de Loire,"Vélos, trottinettes, accessoires 2 roues",4,880015
2016-01-01,Centre-Val de Loire,"Vêtements, chaussures",75,880015
2016-01-01,Centre-Val de Loire,"Appareils électroniques, informatiques, appareils photo",21,1499456
2016-01-01,Centre-Val de Loire,"Bagagerie: sacs, valises, cartables",33,1499456
